"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"Auction",0.00447671480660528,0.0246396518501543,0.0069544671870356,245.584103755053
"VehicleAge",0.0210446586084163,0.00569571816412683,0.0191606345712428,345.653601909485
"Make",0.0411174376697047,-0.0264652512216323,0.0328181052923685,449.002479921166
"Color",0.00225499993637796,-0.0016110667869101,0.00177980966524154,691.498221801292
"Transmission",0.000541777640058615,0.000423617151316649,0.000527414061788295,35.8666589532446
"WheelType",0.0188060555701594,0.135832095694445,0.0331863201421406,1590.5897410987
"VehOdo",0.0100600602843251,-0.000459975613919946,0.00876825741960644,771.510212237722
"Nationality",0.00426557681547226,-0.0026506820247753,0.00341669323540772,46.5195707097456
"Size",0.0224506010743904,-0.0141416371031687,0.017953448882206,317.306062110738
"TopThreeAmericanName",0.0263842699983296,-0.0169268004012961,0.0210613852941494,115.013258504795
"MMRAcquisitionRetailAveragePrice",0.0394054166113819,-0.0245355084274043,0.0315538353012247,755.227312552349
"AUCGUART",0.00164409122987702,0.00349395086517151,0.00187152853597336,46.0849094034328
"VehBCost",0.0367467942245647,-0.0118366382126947,0.0307788527140066,799.314310466301
"IsOnlineSale",0.000160587209374729,-0.000156450954253,0.000121795899795516,29.7754379795972
"WarrantyCost",0.0184202366022028,-0.00809544496555081,0.0151618602751918,497.466108503359
"region",0.00927031522317534,-0.00188955459660322,0.00789819183951483,841.905784385615
"Differential",0.0246789364271899,-0.0150733152686921,0.0197948263134435,760.677167625161
