"nodes","lambda","misclass","gini"
1,0.01,0.122841861013883,-5.47143467531171e-05
1,0.03,0.120147874306839,0.00442477582107771
1,0.05,0.119196130097927,0.0069834705412256
1,0.07,0.121610886065993,0.00339190596865222
1,0.09,0.118960160459354,0.0066365267246188
2,0.01,0.117469618909034,0.00868232031896349
2,0.03,0.116230778306525,0.00993006011327335
2,0.05,0.116655523655956,0.00844240180522235
2,0.07,0.111822078892516,0.0153539577259751
2,0.09,0.117009478113816,0.00837294626077002
3,0.01,0.116399889880835,0.0102423623201899
3,0.03,0.116368427262359,0.0103990700019479
3,0.05,0.112624375663665,0.0128759829071354
3,0.07,0.117697722892988,0.008273287889164
3,0.09,0.111334408306131,0.0148364218684629
4,0.01,0.114724505446966,0.0114920222097649
4,0.03,0.113009792740001,0.0131849819413415
4,0.05,0.112813151374523,0.0133008821920329
4,0.07,0.10967082235419,0.0163059625576175
4,0.09,0.11020175404098,0.0165580877061154
5,0.01,0.114166043969009,0.0112804800289406
5,0.03,0.10958430015338,0.0175032994724049
5,0.05,0.112758091792189,0.0130004092541382
5,0.07,0.115334093679947,0.00961051618971769
5,0.09,0.114728438274275,0.0123077163254396
